pts,"0,97857957"
pgi,"0,361"
pfk,420
fbp,101
ald,"0,00034"
tim,"9,12"
gap,"0,0433"
pgk,1700
pgm,"0,182"
pgh,"5,2"
pyk,71000
pps,"0,212"
zwf,"2,55"
glh,4700
pgd,"0,011"
rpe,"3,9"
rpi,"2,18"
tkt1,"4,63"
tal,"1,34"
tkt2,"56,3"
pfl,5200
pdh,1600000
csn,1200000
acn,"0,046"
icd,"0,113"
kgd,59000
scs,"0,475"
sdh,6000
frd,"0,00017"
fum,"4,02"
mdh,"0,0000048"
ppc,2800000
me,"0,0052"
ppck,"0,0153"
ldh,65000
ada,"0,001"
adh,6300
pta,"0,019"
ack,223
edd,35000000
eda,"0,0019"
biomass,"1,0027421"
ex-etoh,"1,0046131"
ex-ace,"1,0035039"
ex-H,1
ex-lac,"1,0023798"
ex-suc,"1,0009465"
ex-for,"1,0039831"
ex-co2,"1,0034668"
nadh-dh,710000000000000
cytbd,830000000000000000000000000000000000000000000000000
ex-o2,1
atp-synth,"0,000024"
nadp-thd,"0,671"
nad-thd,"1,49"
