PGI,"0,361","-1,0188773206"
PFK,421,"6,0426328337"
FBPase,101,"4,6151205168"
ALD,"3,40E-004","-7,9865649404"
TPI,"9,12","2,2104698041"
GAPDH,"0,0292","-3,5335865697"
PGLase,4700,"8,4553177877"
GL6PD,"2,56","0,9400072585"
R5PI,"2,18","0,7793248768"
TA,"1,34","0,292669614"
PGM,"0,18","-1,7147984281"
PGK,"5,90E-004","-7,4353880211"
PK,71000,"11,170435156"
G6PD,"2,56","0,9400072585"
Xu5PE,"3,91","1,363537374"
TKI,"0,216","-1,5324768713"
TKII,"0,216","-1,5324768713"
R5PCon,1,0
EN,"5,2","1,6486586256"
HK,1100,"7,0030654588"
